Batch,Episode,PTO Damping,Reward,Training Loss,Validation Loss
0,0,1413793.103448276,0.0,3.2672808170318604,1.000963568687439
0,1,1379310.3448275863,0.5347239743778047,2.3910367488861084,6.392513751983643
0,2,1379310.3448275863,0.7011024448210258,3.279012441635132,2.8737971782684326
0,3,1379310.3448275863,0.7784296836543046,1.5878801345825195,1.2229037284851074
0,4,1379310.3448275863,0.8236819189612541,7.797237396240234,4.801596641540527
0,5,1379310.3448275863,0.8534946286824333,2.626312017440796,2.5262534618377686
0,6,1379310.3448275863,0.8746480386432326,6.647121429443359,3.2875006198883057
0,7,1379310.3448275863,0.8904472202594953,5.496665954589844,4.403777122497559
0,8,1379310.3448275863,0.9027011688181965,1.7079105377197266,2.4776532649993896
0,9,1379310.3448275863,0.9124849223200786,1.9152789115905762,4.5309319496154785
0,10,1379310.3448275863,0.9204781060730968,1.4430729150772095,1.4902933835983276
0,11,1379310.3448275863,0.9271316599001821,1.4759445190429688,2.148519515991211
0,12,1172413.7931034483,1.1402137494169338,5.383900165557861,3.5055091381073
0,13,1724137.9310344825,0.6024099311769611,0.33072924613952637,1.2258435487747192
0,14,1172413.7931034483,0.12428443847962382,0.24227654933929443,0.4877434968948364
0,15,1379310.3448275863,0.3314826103746264,0.5140517950057983,0.0625094473361969
0,16,1379310.3448275863,0.3568236697973949,1.213662028312683,0.06661515682935715
0,17,1379310.3448275863,0.38005831683327984,0.13142231106758118,1.4430233240127563
0,18,1379310.3448275863,0.401468071559062,0.08497998863458633,0.2723158597946167
0,19,1379310.3448275863,0.42128239342814267,0.061345551162958145,2.382179021835327
0,20,1379310.3448275863,0.4396908196740738,0.6285908222198486,0.03536853566765785
0,21,1379310.3448275863,0.45685174452628113,1.0409404039382935,0.9605414271354675
0,22,1379310.3448275863,0.4728988994024527,0.03982456028461456,0.16391023993492126
0,23,1379310.3448275863,0.4879462228961605,1.03553307056427,1.2189735174179077
0,24,1379310.3448275863,0.5020915796563307,0.469989538192749,0.19930215179920197
0,25,1379310.3448275863,0.5154196411649465,0.05130309984087944,0.017180535942316055
0,26,1172413.7931034483,0.32874297223964927,0.27098289132118225,2.579925537109375
0,27,1379310.3448275863,0.5445315872314767,1.7736082077026367,0.10414537787437439
0,28,1379310.3448275863,0.5557224271735723,0.5463590621948242,0.11823233217000961
0,29,1379310.3448275863,0.5663459712421749,0.9474246501922607,0.31775280833244324
0,30,1379310.3448275863,0.5764466376475809,0.41032901406288147,0.09851963073015213
0,31,1379310.3448275863,0.586064097427806,0.043838489800691605,0.7071372866630554
0,32,1379310.3448275863,0.5952339184139999,0.2112797647714615,0.2422052025794983
0,33,1379310.3448275863,0.6039881036639719,0.034312669187784195,0.4071706533432007
0,34,2000000.0,7.031691360361374,45.241668701171875,36.51914596557617
0,35,2000000.0,5.379011670582756,24.010940551757812,22.493642807006836
0,36,2000000.0,4.541392815559704,17.900487899780273,15.342198371887207
0,37,1931034.4827586208,1.553105363165189,6.75035285949707,0.35978564620018005
0,38,2000000.0,1.5326712444862614,0.4157694876194,0.22005723416805267
0,39,2000000.0,1.5140955501349407,1.0795546770095825,1.3564735651016235
1,40,1206896.551724138,0.9722159955665872,1.118954062461853,0.40556907653808594
1,41,2000000.0,0.9647181905851362,0.2721479833126068,0.01568499580025673
1,42,2000000.0,0.9642891281687508,0.9870530962944031,0.6507400870323181
1,43,2000000.0,0.9639144411659314,1.304319977760315,0.3359649181365967
1,44,2000000.0,0.9635890041851293,0.22604767978191376,0.28560060262680054
1,45,2000000.0,0.9633082273177371,0.04629024863243103,0.35696959495544434
1,46,2000000.0,0.9630679920715904,0.5397509932518005,0.24171684682369232
1,47,2000000.0,0.9628645960286218,1.0313431024551392,0.3403172492980957
1,48,2000000.0,0.9626947048913723,0.27619361877441406,0.0688360258936882
1,49,2000000.0,0.9625553108098841,0.16537968814373016,0.06165356561541557
1,50,2000000.0,0.9624436960650615,0.2377094030380249,0.12741099298000336
1,51,2000000.0,0.9623574013354036,0.082502581179142,1.1031609773635864
1,52,2000000.0,0.9622941978978252,0.45706459879875183,0.2816057503223419
1,53,2000000.0,0.9622520632153293,0.06689568608999252,0.6874937415122986
1,54,2000000.0,0.962229159448734,1.2251603603363037,0.08544053882360458
1,55,2000000.0,0.9622238144998012,0.5290331840515137,0.1903686374425888
1,56,2000000.0,0.9622345052515798,0.16608478128910065,0.2171543687582016
1,57,2000000.0,0.9622598427207035,0.3654741048812866,0.32402321696281433
1,58,2000000.0,0.9622985588774281,0.24139536917209625,1.020533561706543
1,59,2000000.0,0.9623494949237764,0.47859612107276917,0.5666464567184448
1,60,2000000.0,0.9624115908493498,0.3508628308773041,0.3989742696285248
1,61,2000000.0,0.962483876109111,0.03384799882769585,0.09004690498113632
1,62,1241379.3103448276,3.433629339835585,6.666231632232666,2.8518569469451904
1,63,1241379.3103448276,3.282872922491126,5.567101001739502,3.1375796794891357
1,64,1241379.3103448276,3.1525129081887826,4.196447372436523,1.5983232259750366
1,65,1241379.3103448276,3.0384082110058768,4.769909381866455,2.557464599609375
1,66,1241379.3103448276,2.93750271802307,0.9510032534599304,0.8431565761566162
1,67,1241379.3103448276,2.847485573808226,5.9709858894348145,0.10527815669775009
1,68,1241379.3103448276,2.7665729761105435,0.08558561652898788,0.1395796686410904
1,69,1241379.3103448276,2.693363258700466,0.0512990765273571,1.888062596321106
1,70,1241379.3103448276,2.626737849443028,0.9504964351654053,0.5963753461837769
1,71,1241379.3103448276,2.5657918779104083,0.18285955488681793,2.773855209350586
1,72,1241379.3103448276,2.5097844864832544,0.28811249136924744,1.0241276025772095
1,73,1241379.3103448276,2.4581025593453907,0.9900359511375427,3.264073610305786
1,74,1241379.3103448276,2.4102337889144767,3.688692331314087,0.0023884254042059183
1,75,2000000.0,0.368881177175913,2.390559196472168,1.1561437845230103
1,76,1896551.724137931,4.975767450019976,14.721165657043457,12.61645221710205
1,77,1896551.724137931,4.616428981388159,8.904898643493652,8.464865684509277
1,78,1896551.724137931,4.3287195125761615,11.209864616394043,8.316364288330078
1,79,1896551.724137931,4.091810840828729,5.312628269195557,8.918882369995117
2,80,1896551.724137931,3.8924622830858993,5.627457141876221,5.506216049194336
2,81,1896551.724137931,3.7218022210546624,7.622255802154541,3.5458791255950928
2,82,1896551.724137931,3.573634639960551,3.7452776432037354,2.591369867324829
2,83,2000000.0,4.7779038992066685,14.696431159973145,16.261240005493164
2,84,1379310.3448275863,1.2152162675354095,2.375216245651245,4.796569347381592
2,85,1896551.724137931,1.1871450232278833,3.121448516845703,0.7667967677116394
2,86,1310344.8275862068,2.4924938989605994,1.7971487045288086,3.7000324726104736
2,87,1896551.724137931,3.579848116472101,3.1237499713897705,2.5210800170898438
2,88,1310344.8275862068,0.496688264501715,6.102513790130615,6.49140739440918
2,89,1896551.724137931,0.4951418155492572,6.215487003326416,4.478036403656006
2,90,1896551.724137931,0.4976153899435295,1.882336974143982,4.5569305419921875
2,91,1896551.724137931,0.5000611831231502,3.375343084335327,2.2871510982513428
2,92,1896551.724137931,0.5024797349644051,1.812120795249939,1.5456703901290894
